0.0000,0.0000,0.0000,0.0000,0.0000,0.0667,0.4167,0.7333,0.8000,0.7667,0.7000,0.7000,0.9333,1.0000,0.9833,0.2333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0814,0.6744,0.6163,0.9070,0.7209,1.0000,0.8488,0.2674,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.1754,0.5088,0.7368,0.7193,0.6842,0.5789,0.8947,1.0000,0.9123,0.0526,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1884,0.9275,0.7101,0.8261,0.8986,1.0000,0.6232,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.3333,0.5439,0.7544,0.7368,0.6842,0.6316,0.8947,1.0000,1.0000,0.6316,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2125,0.8750,0.7000,0.8125,0.9000,1.0000,0.6375,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.5833,0.8500,0.8500,0.8500,0.7000,0.9500,1.0000,0.9500,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1711,0.8553,0.8553,0.9605,0.8158,1.0000,0.8947,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0870,0.4348,0.6957,0.7391,0.6667,0.6522,0.4783,0.7681,0.9420,1.0000,0.8986,0.2029,0.0000,0.0000,0.0000,0.0805,0.5632,0.9080,0.5747,0.8046,0.8276,1.0000,0.9655,0.2759,0.0000
0.0000,0.0000,0.0000,0.0000,0.0145,0.3333,0.5507,0.7681,0.7391,0.6667,0.6522,0.5362,0.7681,0.9130,1.0000,1.0000,0.7681,0.0000,0.0000,0.0000,0.0909,0.5758,0.8889,0.5758,0.8283,0.8182,1.0000,1.0000,0.2929,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.1061,0.4848,0.7576,0.8182,0.8182,0.8182,0.5909,0.8636,1.0000,1.0000,0.9242,0.2273,0.0000,0.0000,0.0000,0.0000,0.3118,0.8710,0.8817,0.9462,0.7849,1.0000,0.9140,0.2581,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0667,0.4167,0.7333,0.8000,0.7667,0.7000,0.7000,0.9333,1.0000,0.9833,0.2333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0814,0.6744,0.6163,0.9070,0.7209,1.0000,0.8488,0.2674,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0667,0.4167,0.7333,0.8000,0.7833,0.7000,0.8000,0.9667,1.0000,0.9833,0.2333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0930,0.6860,0.6279,0.9070,0.7326,1.0000,0.8953,0.2791,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0794,0.4762,0.8254,0.9048,0.9048,0.8413,0.7778,0.9841,1.0000,0.9841,0.2698,0.0000,0.0000,0.0000,0.0000,0.0000,0.0814,0.6744,0.8256,0.9186,0.8953,1.0000,0.9419,0.5581,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.1290,0.4839,0.6774,0.7258,0.6613,0.5968,0.6452,0.9032,0.9839,1.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2069,0.8621,0.4138,0.9425,0.6207,1.0000,0.8851,0.2759,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0476,0.3810,0.6508,0.7143,0.6825,0.6349,0.6508,0.9048,1.0000,0.9841,0.4921,0.0000,0.0000,0.0000,0.0000,0.0000,0.2209,0.8372,0.4419,0.9186,0.6395,1.0000,0.8953,0.2791,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.1356,0.5593,0.7627,0.8136,0.7797,0.7119,0.6949,0.9492,1.0000,1.0000,0.5763,0.0000,0.0000,0.0000,0.0000,0.0000,0.0805,0.7011,0.6552,0.9770,0.7931,1.0000,0.9310,0.2759,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.1633,0.5510,0.6327,0.6531,0.3673,0.4286,0.7551,1.0000,0.6939,0.4490,0.0408,0.0000,0.0000,0.0000,0.0000,0.0000,0.1277,0.9362,0.5745,0.9574,0.8511,0.9574,1.0000,0.5745,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.1569,0.5490,0.6471,0.7059,0.5490,0.4706,0.7059,1.0000,0.8235,0.5098,0.2745,0.0000,0.0000,0.0000,0.0000,0.0000,0.8824,0.8235,0.9412,0.6863,0.9608,0.8431,1.0000,0.2549,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.2885,0.6538,0.7115,0.8269,0.6538,0.5192,0.7500,1.0000,1.0000,0.7500,0.4808,0.1154,0.0000,0.0000,0.0000,0.0000,0.8125,0.7656,0.8438,0.8125,0.9531,0.8594,1.0000,0.2500,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.1695,0.5424,0.7288,0.7627,0.6441,0.6102,0.8136,1.0000,0.7627,0.5424,0.3220,0.0000,0.0000,0.0000,0.0000,0.0000,0.7612,1.0000,0.8358,0.8358,0.8955,0.7313,0.8209,0.1940,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.2041,0.6122,0.6735,0.7959,0.4898,0.4286,0.8367,1.0000,0.9388,0.6327,0.3878,0.0000,0.0000,0.0000,0.0000,0.0000,0.8704,1.0000,0.4815,0.7222,0.9074,0.8704,0.9444,0.5556,0.0000
